Номер;Дата підписання;Кількість;Рік;Назва угоди;галузь;місто;чинність;рік припинення;КОРОТКИЙ ЗМІСТ;Наявність на сайті ВР;Сфера дії договору;Загальна сфеа;Посилання на закон;темін припинення;актуальність;Рівень договоу;Тип договору;
;17.12.2009;5;2009;Угода між Кабінетом Міністрів України і Урядом Російської Федерації про заходи з охорони технологій у зв’язку зі співробітництвом в галузі дослідження і використання космічного простору в мирних цілях і в створенні та експлуатації ракетно-космічної та ракетної техніки від 11.06.09.;комплекс заходів правового, організаційного і технічного характеру, пов'язаних із забезпеченням в Україні та в Російській   Федерації   та   з   поданням  взаємного  сприяння  у забезпеченні в третіх державах умов стосовно виробів і технологій;Москва;чинний;;створення заходів з охорони технологій у зв'язку  з  реалізацією  спільних  програм  і  проектів  у   сфері дослідження та використання космічного простору в мирних цілях і в створенні та експлуатації ракетно-космічної  і  ракетної  техніки;;космос;ракетно-космічна  техніка;http://zakon.rada.gov.ua/laws/show/643_352/ed20110321/find?text=%C2%E8%F0%EE%E1%E8+%B3+%F2%E5%F5%ED%EE%EB%EE%E3%B3%BF,+%F9%EE+%EE%F5%EE%F0%EE%ED%FF%FE%F2%FC%F1%FF;безстроково з річним розриванням;неактуально;міжурядові;угода;
;18.08.2009;6;2009;Протокол між Урядом України та Урядом Російської Федерації про внесення змін до “Угоди між Урядом України та Урядом Російської Федерації про подальше співробітництво в забезпеченні розробки, спільного серійного виробництва та поставок в експлуатацію оперативно-тактичного військово-транспортного літака АН-70 та транспортного літака АН-70Т з двигунами Д-27”, підписаної в м.Київ 24 червня 1993 р.;створення літаків Ан-70;Київ;чинний;;"Продовжити роботи  по  створенню  літаків  Ан-70 і  Ан-70Т зі 
збереженням системи прямих договірних зв'язків,  що  склалися  між 
АНТК    ім.   О.К.Антонова   та   підприємствами-розробниками   та 
постачальниками     комплектуючих     виробів,    матеріалів    та 
напівфабрикатівПродовжити роботи  по  створенню  літаків  Ан-70 і  Ан-70Т зі 
збереженням системи прямих договірних зв'язків,  що  склалися  між 
АНТК    ім.   О.К.Антонова   та   підприємствами-розробниками   та 
постачальниками     комплектуючих     виробів,    матеріалів    та 
напівфабрикатівПродовжити роботи  по  створенню  літаків  Ан-70 і  Ан-70Т зі 
збереженням системи прямих договірних зв'язків,  що  склалися  між 
АНТК    ім.   О.К.Антонова   та   підприємствами-розробниками   та 
постачальниками     комплектуючих     виробів,    матеріалів    та 
напівфабрикатівПродовжити роботи  по  створенню  літаків  Ан-70 і  Ан-70Т зі 
збереженням системи прямих договірних зв'язків,  що  склалися  між 
АНТК    ім.   О.К.Антонова   та   підприємствами-розробниками   та 
постачальниками     комплектуючих     виробів,    матеріалів    та 
напівфабрикатів";;авіація;авіа та суднобудування;http://zakon.rada.gov.ua/laws/show/en/643_996;до виконання умов;неактуально;міжурядові;угода;
;20.08.2009;7;2009;Протокол між Кабінетом Міністрів України і Урядом Російської Федерації про внесення змін і доповнень до Угоди між Кабінетом Міністрів України і Урядом Російської Федерації про співробітництво в сфері розробки, виробництва, постачань і експлуатації авіаційної техніки від 20 серпня 1997 р.;створення серійного виробництва нових моделей дивгунів;Москва;чинний;;"створення та серійне виробництво транспортних (пасажирських) 
літаків Ан-74, двигунів.створення та серійне виробництво транспортних (пасажирських) 
літаків Ан-74, двигунів.створення та серійне виробництво транспортних (пасажирських) 
літаків Ан-74, двигунів.створення та серійне виробництво транспортних (пасажирських) 
літаків Ан-74, двигунів.";;авіація;авіа та суднобудування;http://zakon.rada.gov.ua/rada/show/643_358;до дії відповідної угоди http://zakon.rada.gov.ua/rada/show/643_109;неактуально;міжурядові;угода;
;27.08.2009;8;2009;Протокол про взаєморозуміння між Міністерством економіки України та Міністерством економічного розвитку Російської Федерації ;створення торговельно-економічної комісії;Москва;чинний;;"надавати сприяння  розвитку  торговельно-економічних зв'язків 
між Україною і Російською Федерацією; 
представляти і  захищати  інтереси  своєї  держави  у  країні 
перебування у сфері зовнішньоекономічної діяльності; 
інформувати державні органи своєї країни про економічні умови 
в   країні   перебування   та    її    законодавство    у    сфері 
зовнішньоекономічної діяльності,  а також надавати таку інформацію 
про свою країну зацікавленим органам країни перебуваннянадавати сприяння  розвитку  торговельно-економічних зв'язків 
між Україною і Російською Федерацією; 
представляти і  захищати  інтереси  своєї  держави  у  країні 
перебування у сфері зовнішньоекономічної діяльності; 
інформувати державні органи своєї країни про економічні умови 
в   країні   перебування   та    її    законодавство    у    сфері 
зовнішньоекономічної діяльності,  а також надавати таку інформацію 
про свою країну зацікавленим органам країни перебуваннянадавати сприяння  розвитку  торговельно-економічних зв'язків 
між Україною і Російською Федерацією; 
представляти і  захищати  інтереси  своєї  держави  у  країні 
перебування у сфері зовнішньоекономічної діяльності; 
інформувати державні органи своєї країни про економічні умови 
в   країні   перебування   та    її    законодавство    у    сфері 
зовнішньоекономічної діяльності,  а також надавати таку інформацію 
про свою країну зацікавленим органам країни перебуваннянадавати сприяння  розвитку  торговельно-економічних зв'язків 
між Україною і Російською Федерацією; 
представляти і  захищати  інтереси  своєї  держави  у  країні 
перебування у сфері зовнішньоекономічної діяльності; 
інформувати державні органи своєї країни про економічні умови 
в   країні   перебування   та    її    законодавство    у    сфері 
зовнішньоекономічної діяльності,  а також надавати таку інформацію 
про свою країну зацікавленим органам країни перебування";;економіка;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_353;5 років з шестимісячним розриванням;неактуально;міжвідомчі;;
;29.04.2009;9;2009;Угода між Кабінетом Міністрів України і Урядом Російської Федерації про взаємне заснування відділень Торговельно-економічної місії у складі Посольства України в РФ та відділень Торговельного представництва РФ в Україні від 29.04.2009 р.;;;;;;;;;;;;;;
?;30.09.2009;10;2009;Протокол та Програма розвитку співробітництва в сфері нанотехнологій між Міністерством освіти і науки України і Федеральним агентством з науки та інновацій Російської Федерації;;;немає в базі;;;немає;нанотехнології;науково-технічне співробітництво;;;;міжвідомчі;протокол;
;05.03.2010;1;2010;Спільна заява Президентів України та Російської Федерації (підписано в м.Москва).;;;немає в базі;;;немає;;міжнародні відносини;http://zakon.rada.gov.ua/laws/show/643_362;;неактуально;міжнародні;спільна;
?;16.03.2010;2;2010;План взаємодії між Міністерством закордонних справ України і Міністерством закордонних справ Російської Федерації на 2010 рік (підписано у ході третього засідання Підкомітету з міжнародного співробітництва УРМК).;;;немає в базі;;;немає;;міжнародні відносини;;;неактуально;міжвідомчі;план;
?;15.04.2010;3;2010;Протокол між Кабінетом Міністрів України та Урядом Російської Федерації про поставки товарів за виробничою кооперацією у 2010 році (підписано 15.04.2010 р. у м.Києві під час засідання Підкомісії з питань промислової політики Комітету з питань економічного співробітництва УРМК).;;;немає в базі;;;немає;;торгово-економічні відносини;;;неактуально;міжурядові;протокол;
?;21.04.2010;4;2010;Доповнення до контракту між НАК “Нафтогаз України” та ВАТ “Газпром” про купівлю-продаж природного газу на період між 2009 – 2019 роками.;;;немає в базі;;;немає;транзит газу до 2019;нафто-газова промисловість;;до 2019;актуально;міжвідомчі;доповнення до контракту;
?;21.04.2010;5;2010;Доповнення до контракту між НАК “Нафтогаз України” та ВАТ “Газпром” про об’єми та умови транзиту газу через територію України у 2009 – 2019 роках.;;;немає в базі;;;немає;транзит газу до 2012;нафто-газова промисловість;;до 2012;неактуально;міжвідомчі;доповнення до контракту;
?;30.04.2010;6;2010;Протокол о внесении изменений в пункт 3 ст.2 Соглашения между Министерством экономики Украины и Министерством экономического развития РФ о регулировании поставок некоторых видов стальных труб, происходящих из Украины на таможенной территории РФ от 13.01.2005 г. (с изменениями, внесенными в это Соглашение Протоколом, подписанным 30.12.2009 г.).  Підписано під час 6-го засідання Комітету з питань економічного співробітництва УРМК (30.04.2010 р., м.Сочі).;;;немає в базі;;;немає;економічне співробітництво;торгово-економічні відносини;;;;міжвідомчі;протокол;
?;30.04.2010;7;2010;Меморандум про взаєморозуміння між Міністерством регіонального розвитку та будівництва України і Міністерством регіонального розвитку Російської Федерації у сфері міжрегіонального і прикордонного співробітництва (підписано під час 6-го засідання Комітету з питань економічного співробітництва УРМК (30.04.2010 р., м.Сочі).;;;немає в базі;;;немає;міжнародні відносини;міжнародні відносини;;;неактуально;міжвідомчі;меморандум;
?;30.04.2010;8;2010;Меморандум про співробітництво між Відкритим акціонерним товаристовм “Укргідроенерго” та Відкритим акціонерним товаристовм “Русгідро” (підписано під час 6-го засідання Комітету з питань економічного співробітництва УРМК (30.04.2010 р.,м.Сочі).;;;немає в базі;;;немає;;нафто-газова промисловість;;;;міжнародні;меморандум;компанії
?;30.04.2010;9;2010;Меморандум про співробітництво між Державним підприємством “Енергоринок”, Державним підприємством зовнішньоекономічної діяльності “Укрінтеренерго” і ВАТ “ІНТЕР РАТ ЄЕС” (30.04.2010 р., м.Сочі).;;;немає в базі;;;немає;;нафто-газова промисловість;;;;міжвідомчі;меморандум;компанії
;27.04.2010;10;2010;"Угода між Україною та Російською Федерацією з питань перебування Чорноморського флоту Російської Федерації на теритрії України (підписана Президентом України та РФ 21 квітня 2010 р. в м.Харків).
Нота МЗС України щодо набуття чинності Угоди № 72/23-612/1-1240 від 14 травня 2010 року.
Угода між Україною та Російською Федерацією з питань перебування Чорноморського флоту Російської Федерації на теритрії України (підписана Президентом України та РФ 21 квітня 2010 р. в м.Харків).
Нота МЗС України щодо набуття чинності Угоди № 72/23-612/1-1240 від 14 травня 2010 року.
Угода між Україною та Російською Федерацією з питань перебування Чорноморського флоту Російської Федерації на теритрії України (підписана Президентом України та РФ 21 квітня 2010 р. в м.Харків).
Нота МЗС України щодо набуття чинності Угоди № 72/23-612/1-1240 від 14 травня 2010 року.
";"Орендна плата  за перебування Чорноморського флоту Російської 
Федерації на території України починаючи з  28  травня  2017  року Орендна плата  за перебування Чорноморського флоту Російської 
Федерації на території України починаючи з  28  травня  2017  року Орендна плата  за перебування Чорноморського флоту Російської 
Федерації на території України починаючи з  28  травня  2017  року ";Харків;чинний;;"Продовження співпраці , Орендна плата  за перебування Чорноморського флоту Російської 
Федерації на території України починаючи з  28  травня  2017  року 
складається  з платежів Російської Федерації Україні в розмірі сто 
мільйонів доларів США на рік,  а також з  додаткових  коштів,  які 
отримуються  за  рахунок  зниження  з  дати набрання чинності цією 
Угодою ціни в розмірі до ста доларів США від  встановленої  чинним 
контрактом  між  НАК ""Нафтогаз"" України і ВАТ ""Газпром""Продовження співпраці , Орендна плата  за перебування Чорноморського флоту Російської 
Федерації на території України починаючи з  28  травня  2017  року 
складається  з платежів Російської Федерації Україні в розмірі сто 
мільйонів доларів США на рік,  а також з  додаткових  коштів,  які 
отримуються  за  рахунок  зниження  з  дати набрання чинності цією 
Угодою ціни в розмірі до ста доларів США від  встановленої  чинним 
контрактом  між  НАК ""Нафтогаз"" України і ВАТ ""Газпром""Продовження співпраці , Орендна плата  за перебування Чорноморського флоту Російської 
Федерації на території України починаючи з  28  травня  2017  року 
складається  з платежів Російської Федерації Україні в розмірі сто 
мільйонів доларів США на рік,  а також з  додаткових  коштів,  які 
отримуються  за  рахунок  зниження  з  дати набрання чинності цією 
Угодою ціни в розмірі до ста доларів США від  встановленої  чинним 
контрактом  між  НАК ""Нафтогаз"" України і ВАТ ""Газпром""";;Чорноморський флот;Чорноморський флот та Азовське море;http://zakon.rada.gov.ua/laws/show/643_359;не вказано термін;неактуально;міжнародні;угода;
?;17.05.2010;11;2010;Спільна заява Президентів України та Російської Федерації з питань Європейської безпеки (м.Київ).;;;немає в базі;;;немає;безпека;оборона;;;;міжвідомчі;спільна;
?;17.05.2010;12;2010;Спільна заява Президентів України та Російської Федерації з питань безпеки у Чорноморському регіоні (м.Київ).;;;немає в базі;;;немає;Чорноморський флот;Чорноморський флот та Азовське море;;;;міжвідомчі;спільна;
?;17.05.2010;13;2010;Спільна заява Президентів України та Російської Федерації з Придністровського врегулювання (м.Київ).;;;немає в базі;;;немає;Придніпровський регіон;міжнародні відносини;;;;міжвідомчі;спільна;
?;17.05.2010;14;2010;Програма співробітництва між Міністерством культури і туризму України та Міністерством культури Російської Федерації на 2010-2014 рр.;;;немає в базі;;;немає;;культурно-гуманітарна сфера;;;;міжвідомчі;програма;
;;15;2010;Угода про міжбанківське співробітництва між „Укрексімбанк” та ВАТ Банк ВТБ;спільні розрахункові операції в грошових одиницях держав;Київ;н.а;;співпраця в області розрахункових операцій, в тому числі в національних валютах Росії та України, проведення спільних операцій на російському, українському і міжнародному фінансових ринках.;немає;;торгово-економічні відносини;https://biz.liga.net/all/tek/novosti/vtb-i-ukreksimbank-dogovorilsi-o-sotrudnichestve;;;міжнародні;угода;банк
?;01.06.2010;16;2010;Контракт між НАЕК „Енергоатом” та ВАТ „ТВЕЛ” щодо постачання ядерного палива на українські АЕС (підписано в м.Київ).;сторонами узгоджено вартість палива, графіки постачань і платежів;Київ;немає в базі;;;немає;ядерне паливо;нафто-газова промисловість;;;неактуально;міжнародні;контракт;
;17.05.2010;17;2010;"Угода між Україною та Російською Федерацією про демаркацію українсько-російського державного кордону (17.05.10, м.Київ).
Ратифікована Законом України від 08.07.2010).
Лист МЗС України щодо набуття чинності № 72/10-612/1-2273 від 04.08.10.
Угода між Україною та Російською Федерацією про демаркацію українсько-російського державного кордону (17.05.10, м.Київ).
Ратифікована Законом України від 08.07.2010).
Лист МЗС України щодо набуття чинності № 72/10-612/1-2273 від 04.08.10.
";демаркація  укр-рос державрного кордону та створення комісії по цьому питанню;Київ;чинний;;"Для позначення українсько-російського державного  кордону  на 
місцевості  та  підготовки документів демаркації Сторони утворюють 
Спільну українсько-російську демаркаційну комісію. Для позначення українсько-російського державного  кордону  на 
місцевості  та  підготовки документів демаркації Сторони утворюють 
Спільну українсько-російську демаркаційну комісію. ";;прикордонні відносини;переміщення через кордон;http://zakon.rada.gov.ua/laws/show/643_365;не вказано термін;актуально;міжнародні;угода;
?;04.10.2010;18;2010;Меморандум про наміри між Адміністрацією Державної прикордонної служби України і Федеральною службою безпеки Російської Федерації підписано Головою Державної прикордонної служби України та Першим заступником Директора-Керівником Прикордонної служби ФСБ РФ (м.Геленджик, РФ).;;;немає в базі;;;немає;прикордонні відносини;переміщення через кордон;;;;міжвідомчі;меморандум;
;11.06.2009;1;2011;"Угода між Кабінетом Міністрів України та Урядом Російської Федерації щодо заходів з охорони технологій у зв’язку зі співробітництвом у сфері дослідження і використання космічного простору в мирних цілях і в створенні та експлуатації ракетно-космічної і ракетної техніки від 11.06.2009.
Ратифіковано Законом України від 12 грудня 2009 р. № 1769- VI).
 
Угода між Кабінетом Міністрів України та Урядом Російської Федерації щодо заходів з охорони технологій у зв’язку зі співробітництвом у сфері дослідження і використання космічного простору в мирних цілях і в створенні та експлуатації ракетно-космічної і ракетної техніки від 11.06.2009.
Ратифіковано Законом України від 12 грудня 2009 р. № 1769- VI).
 
";"Режиму   контролю  за  ракетними 
технологіями  Режиму   контролю  за  ракетними 
технологіями  ";Київ;чинний;;"встановлення   відносин співробітництва стосовно здійснення заходів з охорони технологій у 
зв'язку  з  реалізацією  спільних  програм  і  проектів  у   сфері 
дослідження та використання космічного простору в мирних цілях і в створенні та експлуатації ракетно-космічної  і  ракетної  технікивстановлення   відносин співробітництва стосовно здійснення заходів з охорони технологій у 
зв'язку  з  реалізацією  спільних  програм  і  проектів  у   сфері 
дослідження та використання космічного простору в мирних цілях і в створенні та експлуатації ракетно-космічної  і  ракетної  техніки";;ракети;ракетно-космічна  техніка;http://zakon.rada.gov.ua/laws/show/643_352/ed20110321/find/sp:max20?text=%CF%EB%E0%ED%E8+%EE%F5%EE%F0%EE%ED%E8+%F2%E5%F5%ED%EE%EB%EE%E3%B3%E9;безстроково;неактуально;міжурядові;угода;
;12.04.2011;2;2011;Протокол між Кабінетом Міністрів України і Урядом Російської Федерації про постачання товарів за виробничою кооперацією в 2011 році.;визначити номенклатуру товарів  за виробничою кооперацією;Москва;припинений;2012;"визначають спільно від імені Сторін 
номенклатуру товарів,  що постачаються за  виробничою  кооперацією 
суб'єктами господарювання   України   та  Російської  Федерації  в 
2011 році,  обсяги їх поставок,  а  також  перелік  цих  суб'єктів 
господарювання. визначають спільно від імені Сторін 
номенклатуру товарів,  що постачаються за  виробничою  кооперацією 
суб'єктами господарювання   України   та  Російської  Федерації  в 
2011 році,  обсяги їх поставок,  а  також  перелік  цих  суб'єктів 
господарювання. ";;економіка;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_381;до 32 грудня 2011;припинено;міжурядові;протокол;
;11.08.2010;3;2011;"Угода між Кабінетом Міністрів України та Урядом Російської Федерації про співробітництво в галузі використання та розвитку російської глобальної навігаційної супутникової системи ГЛОНАСС (підписана 17.05.10 в м. Київ та затверджена постановою Кабінету Міністрів України № 705 від 11.08.10).
 
Угода між Кабінетом Міністрів України та Урядом Російської Федерації про співробітництво в галузі використання та розвитку російської глобальної навігаційної супутникової системи ГЛОНАСС (підписана 17.05.10 в м. Київ та затверджена постановою Кабінету Міністрів України № 705 від 11.08.10).
 
";створення супутникової навігації;Київ;чинний;;"створення українських  наземних  функціональних  доповнень 
системи  ГЛОНАСС, використання   інформації   від    української    наземної інфраструктури  системи  ГЛОНАСС,  яка  включає українські наземні функціональні доповнення системи  ГЛОНАСС,  для  науково-технічних розробок,   науково-прикладних  досліджень  з  метою  розвитку  та використання системи ГЛОНАСС  в  інтересах  соціально-економічного розвитку України та Російської Федерації; 
створення українських  наземних  функціональних  доповнень 
системи  ГЛОНАСС, використання   інформації   від    української    наземної інфраструктури  системи  ГЛОНАСС,  яка  включає українські наземні функціональні доповнення системи  ГЛОНАСС,  для  науково-технічних розробок,   науково-прикладних  досліджень  з  метою  розвитку  та використання системи ГЛОНАСС  в  інтересах  соціально-економічного розвитку України та Російської Федерації; 
";;супутникова навігація;ракетно-космічна  техніка;http://zakon.rada.gov.ua/laws/show/643_380;до дії Угоди між Урядом України і Урядом Російської Федерації про співробітництво в сфері дослідження і використання космічного простору в мирних цілях;актуально;міжурядові;угода;
;30.03.2011;4;2011;"Протокол між Кабінетом Міністрів України і Урядом Російської Федерації про співробітництво в сфері дослідження і використання космічного простору в мирних цілях від 27 серпня 1996 року (підписаний 26.11.10 та затверджений постановою Кабінету Міністрів України № 318 від 30.03.11).
 
Протокол між Кабінетом Міністрів України і Урядом Російської Федерації про співробітництво в сфері дослідження і використання космічного простору в мирних цілях від 27 серпня 1996 року (підписаний 26.11.10 та затверджений постановою Кабінету Міністрів України № 318 від 30.03.11).
 
";інформаційна власність при реалізації досліджень космічного простору ;Москва;чинний;;"охорона прав на інтелектуальну власність, що створюється і (або)
передану при реалізації  використання космічного просторуохорона прав на інтелектуальну власність, що створюється і (або)
передану при реалізації  використання космічного простору";;космос;ракетно-космічна  техніка;http://zakon.rada.gov.ua/laws/show/ru/643_379;до дії Угоди між Урядом України і Урядом Російської Федерації про співробітництво в сфері дослідження і використання космічного простору в мирних цілях;актуально;міжурядові;протокол;
?;04.06.2011;5;2011;Протокол між Міністерством закордонних справ України та Міністерством закордонних справ Російської Федерації про підготовку спільного збірника;;;немає в базі;;;немає;;міжнародні відносини;;;;міжвідомчі;протокол;
;26.11.2010;6;2011;"Угода між Кабінетом Міністрів України та Урядом Російської Федерації про взаємодію при проведенні інспекційних заходів у місцях дислокації військових формувань Чорноморського флоту Російської Федерації на території України за Договором про звичайні збройні сили в Європі від 19 листопада 1990 року, Віденським документом 1999 року переговорів з заходів зміцнення довіри і безпеки та Договором з відкритого неба від 24 березня 1992 року (підписана 26.11.10).
Лист МЗС України   № 72/14-612/1-2406 від 12.08.11.
 
Угода між Кабінетом Міністрів України та Урядом Російської Федерації про взаємодію при проведенні інспекційних заходів у місцях дислокації військових формувань Чорноморського флоту Російської Федерації на території України за Договором про звичайні збройні сили в Європі від 19 листопада 1990 року, Віденським документом 1999 року переговорів з заходів зміцнення довіри і безпеки та Договором з відкритого неба від 24 березня 1992 року (підписана 26.11.10).
Лист МЗС України   № 72/14-612/1-2406 від 12.08.11.
 
";спільні інспекційні заходів у місцях дислокації військових формувань ЧФ відповідно до Віденського документа;Москва;чинний;;взаємодії  при здійсненні  інспекційних  заходів  у  місцях дислокації військових  формувань Чорноморського флоту;;Чорноморський флот;Чорноморський флот та Азовське море;http://zakon.rada.gov.ua/rada/show/643_378/sp:max10;"діє протягом строку дії 
Угоди між Україною і Російською Федерацією  про  статус  та  умови 
перебування Чорноморського флоту Російської Федерації на території 
Українидіє протягом строку дії 
Угоди між Україною і Російською Федерацією  про  статус  та  умови 
перебування Чорноморського флоту Російської Федерації на території 
України";актуально;міжурядові;угода;порушується
;26.11.2010;7;2011;"Угода між Міністерством аграрної політики України та Міністерством сільського господарства Російської Федерації в галузі випробування та охорони прав на сорти рослин (підписана 26.11.10).
Затверджена наказом Міністерства аграрної політики України № 189 від 20.05.11.
Лист МЗС України № 72/11-612/1-2681 від 06.09.11.
 
Угода між Міністерством аграрної політики України та Міністерством сільського господарства Російської Федерації в галузі випробування та охорони прав на сорти рослин (підписана 26.11.10).
Затверджена наказом Міністерства аграрної політики України № 189 від 20.05.11.
Лист МЗС України № 72/11-612/1-2681 від 06.09.11.
 
";випробування та охорона сортів рослин;Москва;чинний;;проведенні випробувань сортів рослин на відмінність, однорідність, стабільність;;аграрна політика;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_389;безстроково з шестимісячним розриванням;актуально;міжвідомчі;угода;
;15.09.2011;8;2011;"Угода між Кабінетом Міністрів України та Урядом Російської Федерації про співробітництво у сфері транспортування нафти на нафтопереробні підприємства України та її транзиту територією України.
Лист МЗС України № 72/11-612/1-1786 від 15.09.11.
Угода між Кабінетом Міністрів України та Урядом Російської Федерації про співробітництво у сфері транспортування нафти на нафтопереробні підприємства України та її транзиту територією України.
Лист МЗС України № 72/11-612/1-1786 від 15.09.11.
";співробітництво  у сфері транспортування по території України нафти;Москва;чинний;;"Українська Сторона  щорічно  до  15  листопада поточного року 
інформує Російську Сторону про технічні можливості транспортування 
нафти  територією  України системою магістральних нафтопроводів на 
наступний  рік  з  щоквартальною  розбивкою   з   урахуванням   їх 
пропускної спроможностіУкраїнська Сторона  щорічно  до  15  листопада поточного року 
інформує Російську Сторону про технічні можливості транспортування 
нафти  територією  України системою магістральних нафтопроводів на 
наступний  рік  з  щоквартальною  розбивкою   з   урахуванням   їх 
пропускної спроможності";;нафто-газова промисловість;нафто-газова промисловість;http://zakon.rada.gov.ua/laws/show/643_383;5 років з шестимісячним розриванням;актуально;міжурядові;угода;
;22.08.2011;9;2011;"Угода між Кабінетом Міністрів України та Урядом Російської Федерації про співробітництво в морському і авіаційному пошуку і рятуванні на Чорному і Азовському морях (підписана 27.10.10).
Нота МЗС РФ № 9917/2 дснд від 12.09.11  про набуття чинності Угодою.
 
Угода між Кабінетом Міністрів України та Урядом Російської Федерації про співробітництво в морському і авіаційному пошуку і рятуванні на Чорному і Азовському морях (підписана 27.10.10).
Нота МЗС РФ № 9917/2 дснд від 12.09.11  про набуття чинності Угодою.
 
";наявність у своєму пошуково-рятувальному районі належних морських та авіаційних служб пошуку та порятунку;Київ;чинний;;пошуково-рятувальна служба одної Сторони приймає повідомлення про загрозу або передбачувану загрозу для людського життя на Чорному і Азовському морях або у повітряному просторі над ними у пошуково-рятувальному районі іншої Сторони, ця служба негайно інформує пошуково-рятувальну службу іншої Сторони;;Азовське море;Чорноморський флот та Азовське море;http://zakon.rada.gov.ua/laws/show/643_385/conv;безстрокова з шестимісячним розриванням;актуально;міжурядові;угода;
