№,Номер,Дата підписання,Кількість документів ,Рік,Назва угоди,ціль,місто,чинність,рік припинення,КОРОТКИЙ ЗМІСТ,Наявність на сайті ВР,Сфера дії договору,галузь,Загальна сфеа,Код ,Код 2,Посилання на закон,темін припинення,актуальність,виконання,Рівень договоу,Тип договору,З якою угодою пов'язана з цієї бази,З якою угодою пов'язана з цієї бази,З якою угодою пов'язана з цієї бази,
285,643_790,07.10.2002,9,2002,Угода між Кабінетом Міністрів України та Урядом РФ про стратегічне співробітництво в газовій галузі від 07.10.02,"довгостроковий  взаємовигідним
співробітництвом в газовій галузі",Кишенів,чинний,,"транспортування газу та забезпечення надійності,  безпеки і стабільності   функціонування  газотранспортної  системи  України, збільшення обсягів транзиту природного газу територією України;
 створення   нових   конкурентоспроможних   газотранспортних потужностей на території України; економічно   обгрунтоване   використання   та  експлуатація  магістральних потужностей  газотранспортної  системи  і  підземних сховищ газу України; залучення    необхідних    інвестиційних    ресурсів    для  модернізації та розвитку газотранспортної системи України",,нафто-газова промисловість,"довгостроковий  взаємовигідним
співробітництвом в газовій галузі",нафто-газова промисловість,3,3,http://zakon.rada.gov.ua/laws/show/643_790,30 років ,неактуальні,порушується,міжурядові,угода,643_106,643_144,643_221,
286,?,10.10.2002,10,2002,"Угода між Міністерством екології та природних ресурсів України і Міністерством природних ресурсів РФ про співробітництво в галузі вивчення, розвідки та використання  мінерально-сировинних ресурсів від 10.10.02",,,немає в базі,,,немає,дослідження природних ресурсів,,науково-технічне співробітництво,9,-1,,,,,міжвідомчі,угода,,,,
287,?,18.11.2002,11,2002,"Угода про співробітництво між Національною радою України з питань телебачення і радіомовлення та Міністерством РФ у справах преси, телерадіомовлення та засобів масових комунікацій від 18.11.02.",,,немає в базі,,,немає,телебачення та радіомовлення,,інформаційно-комунікаційна сфера,8,-1,,,,,міжвідомчі,угода,,,,
288, 643_153,22.11.2002,12,2002,Угода між Кабінетом Міністрів України і Урядом Російської Федерації про надання державного кредиту для фінансування добудови атомних електростанцій на території України,,,чинний,,"Уряд Російської  Федерації  надає  Кабінету Міністрів України державний кредит у розмірі до  44  млн.  доларів  США  для оплати поставок  устаткування  і товарів,  що виготовляються в Російській Федерації,  а також виконання російськими організаціями  робіт  і надання   ними   послуг  для  завершення  будівництва  і  пуску  в промислову експлуатацію  енергоблоку   N   2   Хмельницької    та енергоблоку  N 4   Рівненської  атомних  електростанцій  у  рамках реалізації Угоди про добудову АЕС. 
",,,,атомна енергетика,7,7,https://zakon.rada.gov.ua/laws/show/643_153/sp:max100," до  виконання  всіх 
зобов'язань",неактуальні,,міжурядові,угода, 643_268 ,,,
289,?,03.01.2003,1,2003,"Угода між Кабінетом Міністрів України та Урядом Російської Федерації про переміщення товарів у рамках співробітництва в освоєнні космічного простору, створенні та експлуатації ракетно-космічної та ракетної техніки від 11.02.01.","перевезення товарів, пов'язаних з дослідженням космічного простору та ракетної техніки  ",Дніпропетровськ,чинний,,"переміщення товарів в інтересах співробітництва  між  Україною  та 
Російською  Федерацією  в  дослідженні  та використанні космічного 
простору,  створенні та експлуатації ракетно-космічної та ракетної 
техніки;   ввезенні та/або їх вивезенні не  підлягають  обкладенню  митом  та 
податками,   стягнення  яких  відноситься  до  компетенції  митних 
органів України та Російської  Федерації,  за  винятком  випадків, 
стосовно яких у цій Угоді передбачено інше",,космос,"перевезення товарів, пов'язаних з дослідженням космічного простору та ракетної техніки  ",космічна  техніка,3,3,http://zakon.rada.gov.ua/rada/show/241-15,"невизначений, три місяці на розривання",неактуальні,,міжурядові,угода,,,,
290,?,27.01.2003,2,2003,Програма співробітництва між Міністерством культури і мистецтв України та Міністерством культури РФ на 2003-2007 роки від 27.01.03.,,,немає в базі,,,немає,культура та мистецтво,,культурно-гуманітарна сфера,12,-1,,,,,міжвідомчі,програма,,,,
291,643_211,28.01.2003,3,2003,Угода між Агентствами Укрінформ та ІТАР-ТАСС про співробітництво у сфері інформації від 28.01.03,поглибленню  співробітництва  між  засобами   масової   інформації України і Росії. ,Київ,чинний,,"Сторони зобов'язуються надавати одна одній  якомога  повнішу, 
актуальну  і  достовірну  інформацію  про  політичне,  економічне, 
наукове і культурне  життя  народів  своїх  країн,  використовуючи 
сучасні засоби комунікації",,ЗМІ,поглибленню  співробітництва  між  засобами   масової   інформації України і Росії. ,інформаційно-комунікаційна сфера,8,8,http://zakon.rada.gov.ua/rada/show/643_211,1 рік з  трьохмісячним розриванням,актуальні,не виконується,міжнародні,угода,,,,порушується
292,643_210,28.01.2003,4,2003,Угода між Національною радіокомпанією України і РДРК “Голос Росії” від 28.01.03.,взаємне транслювання передача на державних радіомовлення,Київ,чинний,,"Компанія транслює передачі РДРК на території України;
     - РДРК транслює передачі Національної радіокомпанії України на країни  СНД  і  далекого 
зарубіжжя.",,ЗМІ,взаємне транслювання передача на державних радіомовлення,інформаційно-комунікаційна сфера,8,8,http://zakon.rada.gov.ua/laws/show/643_210,1 рік з тьрохмісячним розриванням,актуальні,не виконується,міжвідомчі,угода,,,,порушується
293,643_212,28.01.2003,5,2003,"Протокол між Кабінетом Міністрів України та Урядом РФ про внесення змін до Угоди між Кабінетом Міністрів України та Урядом Російської Федерації про взаємне визнання та еквівалентність документів про освіту  і вчені звання від 26.05.00, підписаний 28.01.03.",взаємне   визнання  та  еквівалентність документів про освіту і вчені звання,Київ,чинний,," Атестат про повну загальну середню  освіту,  що  видається  в 
Україні,  і  атестат  про середню (повну) загальну освіту і диплом 
про початкову професійну освіту (з отриманням  середньої  (повної) 
загальної освіти), що видаються в Російській Федерації, визнаються 
в обох державах як документи, що дають право продовжити навчання в 
середніх   спеціальних  і  вищих  навчальних  закладах  Російської 
Федерації та вищих навчальних закладах України.",,освіта,взаємне   визнання  та  еквівалентність документів про освіту і вчені звання,науково-технічне співробітництво,9,9,http://zakon.rada.gov.ua/laws/show/643_212,"закінчується з дією Угоди 
між Кабінетом Міністрів України і Урядом Російської Федерації про взаємне визнання та еквівалентність документів про освіту і вчені звання",актуальні,,міжурядові,протокол,643_124 ,,,
294,643_160,28.01.2003,6,2003,Угода між Міністерством охорони здоров’я України та  Міністерством охорони здоров’я РФ про співробітництво з питань охорони здоров’я від 28.01.03.,співробітництво  у  вирішенні пріоритетних  завдань  національних  програм  в  галузі охорони та зміцнення здоров'я населення,Київ,чинний,," - надання первинної та спеціалізованої,  а також стаціонарної 
(або вторинної) медичної допомоги дорослому і дитячому населенню;
     - здійснення державного санітарно-епідеміологічного нагляду;
     - зміцнення здоров'я населення та медична профілактика;
     - фармація і медична техніка, в тому числі виробництво;
     - санаторно-курортне лікування і реабілітація;
     - зміцнення інфраструктури охорони громадського здоров'я;
     - спільне проведення наукових розробок;
     - зміцнення  інформаційної бази,  в тому числі інформаційного 
забезпечення діяльності охорони здоров'я;
     - медичне страхування населення;
     - розробка  пріоритетів   у   реформуванні   систем   охорони 
здоров'я;
     - медична статистика;
     - попередження   та  ліквідація  медико-санітарних  наслідків 
надзвичайних ситуацій;
     - обмін оперативною інформацією.",,охорона здоров'я,співробітництво  у  вирішенні пріоритетних  завдань  національних  програм  в  галузі охорони та зміцнення здоров'я населення,культурно-гуманітарна сфера,12,12,http://zakon.rada.gov.ua/laws/show/643_160,5 років з шестимісячним розриванням,актуальні,,міжвідомчі,угода,,,,
295,643_165,28.01.2003,7,2003, Угода між Міністерством охорони здоров'я України та Міністерством охорони здоров'я Російської Федерації про взаємне визнання висновків державної санітарно-епідеміологічної експертизи Міністерства охорони здоров'я України і санітарно-епідеміологічних висновків Російської Федерації,,Київ,поточна редакція,,"поширюється на продукцію,  що виготовляється в державах   Сторін,   і  взаємно  поставляється  та  відповідно  до законодавства  держав  Сторін  підлягає  обов'язковій  гігієнічній оцінці в системі Сторін",,,,культурно-гуманітарна сфера,12,12,https://zakon.rada.gov.ua/laws/show/643_165,5 років з шестимісячним розриванням,актуальні,,міжвідомчі,угода,,,,
296, 643_158,28.01.2003,8,2003,Угода між Кабінетом Міністрів України та Урядом Російської Федерації про співробітництво в галузі молодіжної політики від 28.01.03.,співпраця в області міолодіжної політики,Київ,припинений 2016,2016,"розвитку зв'язків між молодіжними організаціями, навчальними
закладами, установами та організаціями,  в галузі професійної підготовки та
перепідготовки кадрів, відповідальних за реалізацію молодіжної
політики, встановлення і розвитку зв'язків між дослідницькими
установами та центрами, що займаються проблемами молоді",,"культура, наука,освіта",співпраця в області міолодіжної політики,науково-технічне співробітництво,9,9,http://zakon.rada.gov.ua/rada/show/643_158/sp:max25,5 років з шестимісячним розриванням,неактуальні,,міжурядові,угода,,,,
297,643_157,28.01.2003,9,2003,Договір між Україною і Російською Федерацією про українсько-російський державний кордон від 28.01.03.,узгодження державного кордону мыж сторонами договору,Київ,чинний,,"Українсько-російський державний кордон проходить так,  як  це зазначено  в  Описі проходження державного кордону між Україною та Російською Федерацією (Додаток 1)  і  зображено  суцільною  лінією червоного  кольору  на  картах  державного кордону між Україною та Російською Федерацією (Додаток 2).",,державний кордон,узгодження державного кордону між сторонами договору,прикордонні відносини,10,10,http://zakon.rada.gov.ua/laws/show/643_157,не вказано термін дії,актуальні,,міжнародні,договір, 643_006 ,,,порушується
298,643_189,07.03.2003,10,2003,Угода між Державним комітетом України у справах сім’ї та молоді і Міністерством праці та соціального розвитку РФ про співробітництво у сфері сімейної політики та забезпечення гендерної рівності від 07.03.03,забезпеченням  гендерної  рівності  та  вирішення проблем сім'ї і дітей,Москва,чинний,,"співробітництва у сфері  сімейної  політики 
та  забезпечення  гендерної  рівності з метою спільного вироблення 
державних механізмів і визначення шляхів подальшого  розвитку  цих 
напрямів життєдіяльності суспільства.",,сімейна політика,забезпеченням  гендерної  рівності  та  вирішення проблем сім'ї і дітей,культурно-гуманітарна сфера,12,12,http://zakon.rada.gov.ua/laws/show/643_189,5 років з шестимісячним розриванням,актуальні,,міжвідомчі,угода,,,,
299,643_245,07.03.2003,11,2003,Угода про співпрацю між Національним олімпійським комітетом України та Олімпійським комітетом Росії від 07.03.03.,співпрацю  в  сферах освіти та підготовки спортсменів та спортивних  спеціалістів,н.а,чинний,,"співпрацю в сфері організації 
спільних заходів,  спрямованих на розвиток спортивного  потенціалу 
своїх  країн,  формування  фондів  для  матеріального забезпечення 
вказаних заходів та здійснення маркетингових досліджень",,спорт,співпрацю  в  сферах освіти та підготовки спортсменів та спортивних  спеціалістів,культурно-гуманітарна сфера,12,12,http://zakon.rada.gov.ua/laws/show/643_245?lang=ru,4 роки з шестимісячним розриванням,актуальні,,міжвідомчі,угода,,,,
300,643_243,07.03.2003,12,2003,Протокол двостороннього співробітництва в області фізичної культури і спорту між Державним комітетом України з  питань фізичної культури і спорту та Державним комітетом Російської Федерації по фізичній культурі  і спорту на 2003 р,,Москва,чинний,,,,,,культурно-гуманітарна сфера,12,12,https://zakon.rada.gov.ua/laws/show/643_243,до 2004 року ,неактуальні,,міжвідомчі,протокол,,,,
301,643_244,07.03.2003,13,2003,Угода між Міністерством праці та соціальної політики України та Міністерством праці та соціального розвитку РФ про співробітництво в соціально-трудовій сфері від 07.03.03.,"зміцнення  двосторонніх  зв'язків  у  сфері  праці, зайнятості та соціального захисту населення",Москва,чинний,," а) правове   регулювання   проблем   праці,   зайнятості   та 
соціального захисту населення;
     б) планування   та   розвиток  людських  ресурсів,  включаючи 
зайнятість  різних  груп  населення;  інформаційні  системи  ринку 
праці;  активна  політика  на  ринку  праці;  сприяння регулюванню 
тимчасової зайнятості громадян України в Російській  Федерації  та 
громадян Російської Федерації в Україні;",,соціально-трудова політика,"зміцнення  двосторонніх  зв'язків  у  сфері  праці, зайнятості та соціального захисту населення",культурно-гуманітарна сфера,12,12,http://zakon.rada.gov.ua/laws/show/643_244,1 рік з тьрохмісячним розриванням,актуальні,,міжвідомчі,угода,,,,
302,643_241,07.03.2003,14,2003,Протокол про спільні проекти Державного комітету архівів України та Федеральної архівної служби Росії на 2003 - 2005 роки,,Москва,чинний,,,,,,інформаційно-комунікаційна сфера,8,8,https://zakon.rada.gov.ua/laws/show/643_241,,неактуальні,,міжвідомчі,протокол,,,,
303,643_242,13.03.2003,15,2003,Угода між Міністерством освіти і науки України та Російським агентством з патентів та товарних знаків про співробітництво у сфері інтелектуальної власності від 13.03.03.,співробітництво   у  сфері  інтелектуальної  власності,Кишинів,чинний,,"участь в межах своєї  компетенції  у  врегулюванні  питань, 
пов'язаних із набуттям, здійсненням, використанням і захистом прав 
на об'єкти інтелектуальної власності;",,інтелектульна власність,співробітництво   у  сфері  інтелектуальної  власності,науково-технічне співробітництво,9,9,http://zakon.rada.gov.ua/laws/show/en/643_242,3 роки з шестимісячним розриванням,актуальні,,міжвідомчі,угода,,,,
304,643_235,18.07.2003,16,2003,Угода між Державним комітетом України у справах національностей та міграції та Міністерством внутрішніх справ РФ про співробітництво у сфері міграції від 18.07.03.,регулювання міграційних процесів,Ялта,чинний,,"захист прав мігрантів; імміграційний контроль і запобігання незаконної міграції; питання притулку зовнішня трудова міграція;співробітництво   на   міжнародному  рівні  (у  тому  числі 
регіональне співробітництво). ",,міграція,регулювання міграційних процесів,прикордонні відносини,10,10,http://zakon.rada.gov.ua/laws/show/643_235,безстроково з трьохмісячним розриванням,актуальні,,міжвідомчі,угода,643_006 ,,,
305,643_247,02.08.2003,17,2003,"Протокол між Кабінетом Міністрів України та Урядом РФ про внесення змін і доповнень в Угоду між Урядом України і Урядом РФ про співробітництво у сфері розробки, виробництва, поставок і експлуатації авіаційної техніки від 20 серпня 1997 року, підписаний 02.08.03.",створення і серійне  виробництво  двигунів нового покоління,Київ,чинний,,"в галузі розробки та   реалізації   довгострокових   програм   розвитку   авіаційної промисловості своїх країн з метою створення спільними зусиллями на взаємовигідній  основі  конкурентоспроможної  авіаційної  техніки, орієнтованої в тому числі і на експорт",,авіація,створення і серійне  виробництво  двигунів нового покоління,авіація,4,4,http://zakon.rada.gov.ua/laws/show/643_247,"дія зупиняється з припиненням  Угоди між Урядом України та Урядом Російської Федерації про співробітництво у сфері розробки, виробництва, поставок і експлуатації авіаційної техніки ",неактуальні,,міжурядові,протокол, 643_109 ,,,
306, 501-2003-р,09.08.2003,18,2003,Угода між Кабінетом Міністрів України та Урядом РФ про поставки продовольчого зерна від 09.08.03.,,,поточна редакція,,,,економіка,,торгово-економічні відносини,10,10,http://zakon.rada.gov.ua/laws/show/501-2003-%D1%80,,неактуальні,,міжурядові,угода,,,,
307,?,25.08.2003,19,2003,Угода між Державним департаментом авіаційного транспорту Міністерства транспорту України (Укравіатранс) та Державною службою цивільної авіації Міністерства транспорту РФ (ДСЦА МТ РФ) про передачу функцій та обов’язків щодо нагляду відповідно до статті 83 bis Конвенції ІКАО від 25.08.03.,,,немає в базі,,,немає,авіація,,авіація,4,-1,,,,,міжвідомчі,угода,,,,
308, 643_178,29.08.2003,20,2003,"Угода між Державним Департаментом фінансового моніторингу, що діє у складі Міністерства фінансів України та Комітетом РФ по фінансовому моніторингу про взаємодію у сфері протидії легалізації (відмиванню) доходів, одержаних злочинним шляхом від 29.08.03.","передання інформації про операції з коштиами і майном, пов'язані з легалізацією злочинних доходів",Москва,припинений 2012,2012," Сторони здійснюють  взаємодію,  в  тому  числі  інформаційний 
обмін,  на  стадіях  збору,  обробки  та  аналізу  інформації  про 
операції  з  грошовими коштами або іншим майном,  що знаходиться в 
їхньому розпорядженні,  у  відношенні  яких  є  підозри,  що  вони 
пов'язані   з   легалізацією   (відмиванням)   доходів,  одержаних 
злочинним шляхом,  а також по обміну  інформацією  про  діяльність 
фізичних  та  юридичних  осіб,  що  беруть участь у здійсненні цих 
операцій.",,економіка,"передання інформації про операції з коштиами і майном, пов'язані з легалізацією злочинних доходів",торгово-економічні відносини,10,10,http://zakon.rada.gov.ua/rada/show/643_178,,неактуальні,,міжвідомчі,угода,643_405 ,,,
309, 643_267,29.08.2003,21,2003,Протокол між Урядом Російської Федерації і Кабінетом Міністрів України на 2004 рік до Угоди між Урядом Російської Федерації і Кабінетом Міністрів України про додаткові заходи щодо забезпечення транзиту російського природного газу по території України від 4 жовтня 2001 року,,,припинений 2005,2005,Відповідно до частини третьої статті 2 Російська Сторона гарантує транзит в 2004 році середньоазіатського природного газу для газопостачання споживачівУкраїна в обсязі 36 (тридцять шість) млрд. куб. м,,,,нафто-газова промисловість,3,3,https://zakon.rada.gov.ua/cgi-bin/laws/main.cgi?nreg=643_267,до 2005 ,неактуальні,,міжурядові,протокол,643_221,,,
310,?,07.11.2003,22,2003,"Угода про створення Єврорегіону ""Слобожанщина""",,,немає в базі,,,,,,міжнародні відносини,11,-1,http://euroregion.ru/wp-content/uploads/2016/09/02_Post_Belgorod.pdf,,,, міжрегіональна,угода,,,,
311,643_209,24.12.2003,23,2003,"Протокол між Державною митною службою України та Державним митним комітетом РФ про розвиток обміну інформацією щодо товарів та транспортних засобів, які переміщуються через  кордон України і РФ від 24.12.03.",обмін електронної інформації центральних митниць щодо товарів та транспортних засобів ,Москва,чинний,," обміну  електронною   інформацією   митних 
органів,   розташованих   у  залізничних  пунктах  пропуску  через 
українсько-російський кордон",,митниця,обмін електронної інформації центральних митниць щодо товарів та транспортних засобів ,митниця,2,2,http://zakon.rada.gov.ua/laws/show/643_209,діє до чинності відповідної угоди,актуальні,,міжвідомчі,протокол,643_273,,,
312, 643_205,24.12.2003,24,2003,Договір між Україною та РФ про співробітництво у використанні Азовського моря і Керченської протоки від 24.12.03.,"умови перетинання ліній державного кордону в Азовському морі, Керченській протоці",Керч,чинний,,"Торговельні  судна  та  військові  кораблі під прапором України або Російської  Федерації,  що експлуатуються  в  некомерційних цілях,  користуються в Азовському морі та Керченській протоці свободою судноплавства.",,Азовське море,"умови перетинання ліній державного кордону в Азовському морі, Керченській протоці",Чорноморський флот та Азовське море,1,1,http://zakon.rada.gov.ua/laws/show/643_205,не вказано термін дії,актуальні,,міжнародні,договір,643_006,643_157,,порушується
313,643_224,23.01.2004,1,2004,Протокол між Кабінетом Міністрів України та Урядом Російської Федерації про поставки товарів за виробничою кооперацією в 2004 році,,,,,,,,,торгово-економічні відносини,10,10,https://zakon.rada.gov.ua/rada/show/643_224,до кінця 2005,неактуальні,,міжурядові,протокол, 643_334,643_093 ,,
314,643_234,24.03.2004,2,2004,Угода між Кабінетом Міністрів України та Урядом РФ про порядок взаємодії при здійсненні експорту товарів (продукції) військового призначення до третіх країн від 18.07.03.,експорт товарів військового призначення  третім країнам,Ялта,припинений 2018,2018,"експорт товарів (продукції) військового призначення до третіх 
країн; 

     проведення спільних  маркетингових  та   патентно-ліцензійних 
досліджень   світових   ринків   товарів  (продукції)  військового 
призначення та обмін інформацією з цих питань; 

     проведення консультацій з метою узгодження  рівня  експортних 
цін  і  тарифів  на  поставку  до третіх країн товарів (продукції) 
військового призначення;",,експорт воєнних товарів,експорт товарів військового призначення  третім країнам,оборона,6,6,http://zakon.rada.gov.ua/laws/show/643_234/ed20180721,5 років з шестимісячним розриванням,неактуальні,,міжурядові,угода,643_043 ,,,
315,?,28.05.2004,3,2004,Підсумковий документ спільного засідання Колегії МЗС України і Колегії МЗС Росії від 28.05.2004,,,немає в базі,,,немає,безпека,,оборона,6,-1,,,неактуальні,,міжвідомчі,підсумковий документ,,,,
316,?,28.05.2004,4,2004,Угода (у формі обміну нотами) про внесення змін до статті 7 Угоди між Урядом України та Урядом Російської Федерації про співробітництво в галузі рибного господарства від 24.09.92.,,,немає в базі,,,немає,рибне господарство,,торгово-економічні відносини,10,-1,,,неактуальні,,міжвідомчі,угода,,,,
317,643_246,04.06.2004,5,2004,"Угода між Урядом України та Урядом Російської Федерації про врегулювання претензій, які виникли внаслідок повітряної катастрофи, що сталася 4 жовтня 2001 року, підписана 26.12.03.",повітряні катастрофи,Москва,чинний,,"Українська Сторона виплачує ex gratia  Російській  Стороні 
для   розподілу   серед   можливих   отримувачів  одноразову  суму 
врегулювання у розмірі  семи  мільйонів  восьмиста  дев'яти  тисяч 
шістдесяти  шести  доларів  США  шістдесяти шести центів згідно зі 
строками та умовами, встановленими у Додатку 2 до цієї Угоди.",,міжнародні відносини,повітряні катастрофи,міжнародні відносини,11,11,http://zakon.rada.gov.ua/rada/show/643_246,до виконання зобов'язань,неактуальні,,міжурядові,угода,,,,
318,643_238,18.06.2004,6,2004,Протокол дев'ятого (позачергового) засідання Змішаної Українсько-Російської комісії зі співробітництва,,,чинний,,,,,,міжнародні відносини,11,,https://zakon.rada.gov.ua/laws/show/en/643_238,,неактуальні,,,, 643_091 ,,,
319,643_286,02.07.2004,7,2004,"Протокол між Кабінетом Міністрів України і Урядом РФ про затвердження Методики визначення обсягу участі Російської Федерації у розвитку соціально-економічної сфери  у  м.Севастополя та інших населених пунктів, в яких дислокуються військові формування Чорноморського флоту Російської Федерації на території України від 02.07.04.",,,поточна редакція,,,немає,Чорноморський флот,,Чорноморський флот та Азовське море,1,-1,https://zakon.rada.gov.ua/laws/show/643_286/sp:max15,,неактуальні,,міжурядові,протокол,643_255 ,,,
320,?,07.08.2004,8,2004,Угода між Урядом України і Урядом РФ про використання полігону злітно-посадкових систем “Нитка” від 07.02.97.,використання злітно-посадкової системи України,Київ,чинний,,,,повітряний простір,використання злітно-посадкової системи України,авіація,4,4,http://zakon.rada.gov.ua/laws/show/1968-15,5 років з шестимісячним розриванням,неактуальні,,міжурядові,угода,,,,порушується
321,643_283,18.08.2004,9,2004,"Угода між Кабінетом Міністрів України та Урядом Російської Федерації про заходи щодо забезпечення стратегічного співробітництва в газовій галузі від 18.08.04. (За виключенням статей 9, 10 , 11 тимчасово застосовується з дати підписання, ВДП сторін)","умови побудови гапзопровода ""Богородчани-Ужгород""  врамках спільного інвестиційного проекту, зобов'язання України і Росії",Сочі,поточна редакція,,"інвестиційний проект в рамках стратегічного співробітництва, проект будівництва і подальшої експлуатації газопроводу Богородчани - Ужгород ",,газовий транзит,"умови побудови гапзопровода ""Богородчани-Ужгород""  врамках спільного інвестиційного проекту, зобов'язання України і Росії",нафто-газова промисловість,3,3,http://zakon.rada.gov.ua/laws/show/643_283,до 31 грудня 2030 року і продовжується на наступні 5-ти річні періоди,неактуальні,,міжурядові,угода,,,,
322,643_284,18.08.2004,10,2004,Угода між Кабінетом Міністрів України та Урядом Російської Федерації про транзит нафти територією України,"врегульовує питання економічного співробітництва у сфері транзиту нафти, що надходить з території РФ для третіх країн трубопровідним транспортом через територію України;",Сочі,чинний,,"транзит нафти здійснюється на підставі договорів про надання послуг між уповноваженими організаціями сторін, а також договорів між уповноваженою організацією російської сторони та вантажовідправниками в обсягах, що визначаються графіками транспортування нафти, які затверджуються російською стороною у встановленому порядку; обсяги та напрямки транзиту нафти територією України уточнюються щорічними протоколами, які укладаються компетентними органами сторін;
уповноважені організації сторін забезпечують оптимальну роботу нафтопроводу “Одеса-Броди”, в т.ч.поставки російської нафти за напрямком Броди-Одеса-МНТ “Південний”;
українська сторона зобов’язується повідомляти російську сторону про зміну транспортних тарифів на транзит нафтитериторією України за три місяці до запровадження такої зміни;",,,,нафто-газова промисловість,3,3,https://zakon.rada.gov.ua/laws/show/643_284,до 2019,актуальні,виконано,міжурядові,угода,643_091 ,643_106 ,,
323, 643_282,12.11.2004,11,2004,Угода між Міністерством транспорту та зв'язку України і Міністерством транспорту Російської Федерації про  організацію міжнародного прямого залізнично-поромного сполучення через порти Крим (Україна) і Кавказ (Росія),,Керч,припинений 2016,2016,"Сторони створюють Раду по спільній експлуатації залізнично-поромної переправи між портами Крим (Україна) і  Кавказ (Росія)  (далі  -  Рада),  що складається на паритетних засадах із представників   Сторін,   організацій   залізничного  транспорту, морських  портових  адміністрацій,  власників  залізничних поромів держав Сторін.",,,,прикордонні відносини,10,10,https://zakon.rada.gov.ua/laws/show/643_282,безстроково з шестимісячним розриванням,актуальні,не виконується,міжвідомчі,кугода,643_006 ,643_205,,
